greenhouse	humidity	pot	plant 1	plant 2
1	L	1	NR	B52
1	L	2	B52	NR
1	L	3	B52	NR
1	L	4	B52	NR
2	H	1	NR	B52
2	H	2	B52	NR
2	H	3	B52	B52
2	H	4	NR	NR
3	L	1	NR	B52
3	L	2	B52	B52
3	L	3	B52	NR
3	L	4	NR	NR
4	H	1	B52	B52
4	H	2	B52	NR
4	H	3	B52	NR
4	H	4	NR	NR
5	L	1	NR	B52
5	L	2	B52	NR
5	L	3	B52	B52
5	L	4	NR	NR
6	H	1	B52	NR
6	H	2	B52	B52
6	H	3	NR	NR
6	H	4	NR	B52
7	L	1	NR	B52
7	L	2	NR	NR
7	L	3	B52	NR
7	L	4	B52	B52
8	L	1	NR	B52
8	L	2	NR	NR
8	L	3	B52	B52
8	L	4	B52	NR
9	H	1	NR	NR
9	H	2	NR	B52
9	H	3	B52	B52
9	H	4	B52	NR
10	H	1	B52	NR
10	H	2	B52	NR
10	H	3	NR	B52
10	H	4	NR	B52
1	L	1	B52	B52
1	L	2	B52	NR
1	L	3	NR	NR
1	L	4	B52	NR
2	H	1	NR	B52
2	H	2	NR	B52
2	H	3	B52	NR
2	H	4	B52	NR
3	L	1	NR	NR
3	L	2	NR	B52
3	L	3	B52	B52
3	L	4	NR	B52
4	H	1	NR	B52
4	H	2	NR	B52
4	H	3	B52	NR
4	H	4	NR	B52
5	L	1	NR	B52
5	L	2	B52	B52
5	L	3	NR	B52
5	L	4	NR	NR
6	H	1	NR	NR
6	H	2	B52	NR
6	H	3	B52	NR
6	H	4	B52	B52
7	L	1	NR	NR
7	L	2	NR	B52
7	L	3	B52	NR
7	L	4	B52	B52
8	L	1	B52	B52
8	L	2	NR	NR
8	L	3	NR	B52
8	L	4	B52	NR
9	H	1	NR	NR
9	H	2	B52	B52
9	H	3	B52	NR
9	H	4	B52	NR
10	H	1	B52	NR
10	H	2	NR	NR
10	H	3	B52	B52
10	H	4	NR	B52
1	L	1	NR	B52
1	L	2	B52	B52
1	L	3	NR	B52
1	L	4	NR	NR
2	H	1	B52	NR
2	H	2	NR	B52
2	H	3	B52	NR
2	H	4	NR	B52
3	L	1	NR	B52
3	L	2	B52	B52
3	L	3	B52	NR
3	L	4	NR	NR
4	H	1	B52	NR
4	H	2	B52	NR
4	H	3	NR	NR
4	H	4	B52	B52
5	L	1	B52	NR
5	L	2	B52	NR
5	L	3	B52	B52
5	L	4	NR	NR
6	H	1	NR	B52
6	H	2	B52	B52
6	H	3	NR	NR
6	H	4	B52	NR
7	L	1	B52	B52
7	L	2	NR	NR
7	L	3	B52	NR
7	L	4	B52	NR
8	L	1	NR	NR
8	L	2	B52	NR
8	L	3	B52	NR
8	L	4	B52	B52
9	H	1	B52	NR
9	H	2	NR	B52
9	H	3	NR	B52
9	H	4	B52	NR
10	H	1	B52	NR
10	H	2	NR	NR
10	H	3	NR	B52
10	H	4	B52	B52
