greenhouse,humidity,pot,plant,yield
1,L,1,B52,6.592934067
1,L,1,NR,6.253636445
1,L,2,B52,6.748530966
1,L,2,NR,6.460192489
1,L,3,B52,7.765628112
1,L,3,NR,7.570017934
1,L,4,B52,7.056110391
1,L,4,NR,6.629311443
2,H,1,B52,5.661732735
2,H,1,NR,5.173936095
2,H,2,B52,6.325687403
2,H,2,NR,5.466087605
2,H,3,B52,6.134304201
2,H,3,B52,5.871420182
2,H,4,NR,5.679032756
2,H,4,NR,5.560757611
3,L,1,B52,8.176510834
3,L,1,NR,7.564156028
3,L,2,B52,8.647983294
3,L,2,B52,8.365061275
3,L,3,B52,8.319387919
3,L,3,NR,7.86189864
3,L,4,NR,8.181718849
3,L,4,NR,8.236745586
4,H,1,B52,4.376218368
4,H,1,B52,4.450245166
4,H,2,B52,4.894339815
4,H,2,NR,4.033299209
4,H,3,B52,5.459198834
4,H,3,NR,4.564090283
4,H,4,NR,4.177088433
4,H,4,NR,4.093040084
5,L,1,B52,6.704417963
5,L,1,NR,5.866871664
5,L,2,B52,6.106601949
5,L,2,NR,5.740707643
5,L,3,B52,7.396454958
5,L,3,B52,7.618092286
5,L,4,NR,6.387052778
5,L,4,NR,6.437801763
6,H,1,B52,6.495418878
6,H,1,NR,6.122964066
6,H,2,B52,7.058124817
6,H,2,B52,7.173010585
6,H,3,NR,6.651740615
6,H,3,NR,6.85206374
6,H,4,B52,6.108015543
6,H,4,NR,5.648772272
7,L,1,B52,5.227337168
7,L,1,NR,5.053722176
7,L,2,NR,6.033442459
7,L,2,NR,6.361969986
7,L,3,B52,6.152398833
7,L,3,NR,5.854376567
7,L,4,B52,6.391965775
7,L,4,B52,6.564792511
8,H,1,B52,9.04372974
8,H,1,NR,8.827655141
8,H,2,NR,8.266188983
8,H,2,NR,8.312995283
8,H,3,B52,8.221738472
8,H,3,B52,8.182231983
8,H,4,B52,8.669828234
8,H,4,NR,8.149177303
1,L,1,B52,7.677493563
1,L,1,NR,7.096339732
1,L,2,B52,7.451752045
1,L,2,B52,7.5083522
1,L,3,B52,7.613093643
1,L,3,NR,7.026664333
1,L,4,NR,7.382970625
1,L,4,NR,7.398100643
2,H,1,B52,6.642827796
2,H,1,NR,5.90743156
2,H,2,B52,6.798599064
2,H,2,NR,6.125487828
2,H,3,B52,6.782932219
2,H,3,NR,6.549631006
2,H,4,B52,7.28225667
2,H,4,NR,6.671209646
3,L,1,B52,7.179028307
3,L,1,NR,6.526394342
3,L,2,B52,7.784556025
3,L,2,B52,7.75159703
3,L,3,B52,7.619614402
3,L,3,NR,7.220620946
3,L,4,NR,6.615327193
3,L,4,NR,6.642538301
4,H,1,B52,5.691247087
4,H,1,NR,5.105531674
4,H,2,B52,6.671011629
4,H,2,NR,5.781797639
4,H,3,NR,5.430762697
4,H,3,NR,5.175765293
4,H,4,B52,6.094739635
4,H,4,B52,6.065503137
5,H,1,B52,7.397396608
5,H,1,NR,6.684517551
5,H,2,B52,7.1997568
5,H,2,NR,6.891131426
5,H,3,B52,7.069731716
5,H,3,B52,7.267032835
5,H,4,NR,6.370273297
5,H,4,NR,6.324331228
6,L,1,B52,7.827200723
6,L,1,B52,8.052933044
6,L,2,NR,7.521450453
6,L,2,NR,7.779002645
6,L,3,B52,7.343865025
6,L,3,NR,6.76971657
6,L,4,B52,7.326082109
6,L,4,NR,6.944022442
7,L,1,NR,6.285076818
7,L,1,NR,6.431316076
7,L,2,B52,6.819412279
7,L,2,NR,6.298936167
7,L,3,B52,7.085237514
7,L,3,NR,6.235295469
7,L,4,B52,7.538823163
7,L,4,B52,7.553223172
8,H,1,B52,6.96998173
8,H,1,NR,6.619199248
8,H,2,NR,6.905355267
8,H,2,NR,6.983129247
8,H,3,B52,7.379548714
8,H,3,NR,6.694500706
8,H,4,B52,7.412320407
8,H,4,B52,7.632008575
